PSU	LC	Mate	NEM 	OC	OH	Buenas	Malas	Omitidas	Nota	Calculo	 R1 	R2 	R3 	R4 
670.3	659	660	702	660	613	15	7	18	595	595	30.8	30.8	37.5	66.7
716.3	743	688	744	721	0	29	2	9	740	740	53.8	69.2	87.5	100
669.6	710	673	641	628	645	23	9	8	667	667	76.9	46.2	37.5	66.7
679.7	514	812	560	715	0	19	6	15	636	636	53.8	38.5	12.5	100
659.05	626	718	579	660	0	19	13	8	619	619	38.5	53.8	50	50
673.65	754	664	641	638	0	16	9	15	600	600	38.5	38.5	37.5	50
668.3	659	664	682	672	0	22	7	11	662	662	69.2	38.5	50	66.7
696.8	651	688	764	660	0	27	6	7	712	712	76.9	61.5	50	83.3
677.85	667	718	641	611	0	19	6	15	636	636	61.5	30.8	37.5	66.7
653.55	710	688	517	727	0	22	8	10	660	660	61.5	30.8	50	100
684.1	754	673	661	652	0	21	9	10	648	648	38.5	69.2	37.5	66.7
659.2	626	688	620	635	694	24	7	9	681	681	69.2	61.5	50	50
650.8	587	656	682	638	677	20	4	16	650	650	69.2	46.2	37.5	33.3
667.15	645	706	621	652	0	22	7	11	662	662	69.2	38.5	37.5	83.3
653.3	667	706	538	592	677	35	1	4	800	800	92.3	84.6	75	100
653.25	603	656	703	617	0	17	7	16	614	614	30.8	30.8	62.5	66.7
686.6	576	756	682	607	0	25	7	8	690	690	53.8	53.8	75	83.3
657.65	659	673	620	680	0	18	7	15	624	624	30.8	38.5	50	83.3
714.65	667	774	661	677	660	30	6	4	740	740	61.5	69.2	100	83.3
676.05	567	756	641	622	0	21	6	13	655	655	61.5	38.5	50	66.7
718.85	651	756	723	677	0	24	4	12	688	688	46.2	46.2	87.5	83.3
647.2	633	648	682	585	0	21	5	14	657	657	53.8	46.2	37.5	83.3
707.85	691	774	579	766	0	31	8	1	745	745	69.2	92.3	62.5	83.3
692.5	659	737	661	638	0	27	6	7	712	712	84.6	61.5	25	100
675.2	576	737	661	631	570	22	4	14	669	669	61.5	53.8	25	83.3
682.1	608	831	517	573	0	32	6	2	759	759	69.2	84.6	87.5	83.3
690	700	706	662	668	0	24	8	8	679	679	46.2	76.9	37.5	83.3
737.85	784	718	723	0	772	28	6	6	721	721	61.5	61.5	75	100
656.6	614	645	723	628	626	14	4	22	593	593	30.8	23.1	50	50
683.35	651	831	496	552	0	21	10	9	645	645	61.5	53.8	25	66.7
682.75	674	718	641	646	0	20	6	14	645	645	38.5	38.5	50	100
668.15	592	737	620	631	0	30	6	4	740	740	92.3	69.2	50	83.3
765.1	700	850	682	721	0	35	0	5	802	802	92.3	84.6	87.5	83.3
636.1	552	718	558	631	0	32	5	3	762	762	92.3	69.2	87.5	66.7
709.8	732	737	641	715	0	35	2	3	797	797	84.6	84.6	87.5	100
634.75	633	603	702	561	613	16	12	12	593	593	46.2	46.2	12.5	50
660.15	626	678	661	646	0	31	5	4	752	752	69.2	84.6	62.5	100
653.25	603	669	682	611	0	16	12	12	593	593	53.8	38.5	25	33.3
676.25	614	737	620	668	0	32	8	0	755	755	69.2	84.6	87.5	83.3
678.75	659	718	599	741	0	21	12	7	641	641	53.8	53.8	37.5	66.7
674.05	691	688	641	660	0	19	7	14	633	633	53.8	30.8	37.5	83.3
629.7	620	673	579	581	0	23	3	14	681	681	61.5	61.5	37.5	66.7
689.8	651	718	682	660	0	21	5	14	657	657	53.8	53.8	37.5	66.7
653.45	667	688	579	657	608	32	3	5	766	766	76.9	69.2	87.5	100
680.5	667	701	661	664	0	28	9	3	714	714	69.2	61.5	75	83.3
667.5	667	701	599	689	0	28	7	5	719	719	69.2	61.5	62.5	100
681.95	620	756	599	680	0	29	2	9	740	740	61.5	69.2	87.5	83.3
678.25	651	737	620	614	0	23	11	6	662	662	76.9	61.5	37.5	33.3
657.6	620	627	785	552	0	13	9	18	572	572	46.2	15.4	37.5	33.3
691.55	674	718	641	734	0	32	2	6	769	769	92.3	69.2	87.5	66.7
703.6	597	812	620	638	578	30	2	8	750	750	76.9	76.9	75	66.7
661.6	659	701	599	646	626	21	13	6	638	638	53.8	38.5	75	50
688.75	659	774	561	684	0	34	5	1	781	781	84.6	84.6	75	100
662.75	633	701	620	657	0	22	11	7	652	652	61.5	53.8	25	83.3
689.1	700	737	599	677	0	30	4	6	745	745	69.2	76.9	62.5	100
688.2	639	718	682	668	0	26	5	9	705	705	61.5	61.5	62.5	83.3
735.85	659	831	682	596	0	33	7	0	766	766	84.6	76.9	87.5	83.3
656.75	633	688	599	614	708	26	5	9	705	705	53.8	53.8	75	100
722.45	754	701	764	652	0	30	10	0	731	731	92.3	53.8	75	83.3
